country,milex
USA                           ,698180
"China, P. R.                  ",123333
France                        ,61782
Russia/USSR,58720
UK                            ,58083
Japan                         ,53796
Germany                       ,46256
India                         ,46090
Saudi Arabia                  ,45245
Italy                         ,36032
Brazil                        ,34003
"Korea, South                  ",27573
Australia                     ,23218
Canada                        ,19316
Turkey                        ,17749
UAE                           ,17505
Spain                         ,14743
Israel                        ,14645
Iran                          ,13561
Netherlands                   ,11221
