country,milex
USA                           ,711338
"China, P. R.                  ",147258
Russia/USSR,70237
France                        ,64601
Japan                         ,60452
UK                            ,60270
India                         ,49634
Saudi Arabia                  ,48531
Germany                       ,48140
Italy                         ,38130
Brazil                        ,36936
"Korea, South                  ",30884
Australia                     ,26597
Canada                        ,20483
UAE                           ,19182
Turkey                        ,17130
Israel                        ,15481
Iran                          ,14278
Spain                         ,13983
Netherlands                   ,11648
