country,2010,2011,2012,2013,2014
USA,14964372000000.00,15517926000000.00,16163158000000.00,16768053000000.00,17419000000000.00
"China, P. R.",12358729118026.50,13810256092313.30,15147732172364.10,16554707575584.10,18017072919507.40
France,2332311782341.95,2438939000587.44,2445463259384.95,2478250840694.29,2571970459926.35
Russia/USSR,2928122118609.56,3226600239092.72,3445923030942.73,3592401312561.96,3745156800194.02
UK,2250493704454.41,2314653891010.54,2395634891519.67,2483661038301.04,2565070098736.98
Japan,4321149316697.06,4386151911434.78,4540944805895.06,4612630249488.68,4630941366906.88
Germany,3239360580158.50,3447162434101.29,3506641955570.94,3553605420066.49,3704910866882.94
India,5370599016924.95,5845362020807.47,6252659013279.15,6783639390887.82,7384098903973.73
Saudi Arabia,1217779203046.65,1366703554588.84,1466149749001.55,1527724349365.41,1603764106761.79
Italy,2057880799112.10,2131797030183.36,2114541653658.18,2109333808259.89,2128761903706.66
Brazil,2803888140587.42,2973856148557.23,3080598391714.09,3212282669538.23,3263866821208.96
"Korea, South",1505299330971.90,1559446833866.66,1601229237842.43,1661722646620.35,1732351775501.17
Australia,861853267945.40,932989069866.56,979558023390.41,1001499901451.94,1031944753784.70
Canada,1362090504194.59,1427541164477.25,1469441272597.57,1512972554508.70,1565812780384.61
Turkey,1168150082497.72,1308343501046.00,1348311030981.30,1409344050194.68,1457862881264.30
UAE,468494066786.60,503068685411.63,547401997471.57,579566269877.61,614896592520.70
Spain,1506786661704.05,1520544286877.08,1514892949435.88,1516433747412.01,1541155555818.71
Israel,220605720300.04,237433528959.79,252538837176.62,263535475007.73,272991404946.96
